x,y,zone
0,0,9
1,0,9
2,0,9
3,0,9
4,0,9
5,0,9
6,0,9
7,0,9
8,0,9
9,0,9
10,0,9
11,0,9
12,0,9
13,0,9
14,0,9
15,0,9
16,0,9
17,0,9
18,0,9
19,0,9
20,0,9
21,0,9
22,0,9
23,0,9
24,0,9
25,0,9
26,0,9
27,0,9
28,0,9
29,0,9
30,0,9
31,0,9
32,0,9
0,1,9
1,1,9
2,1,9
3,1,9
4,1,9
5,1,9
6,1,9
7,1,9
8,1,9
9,1,9
10,1,9
11,1,9
12,1,9
13,1,9
14,1,9
15,1,9
16,1,9
17,1,9
18,1,9
19,1,9
20,1,9
21,1,9
22,1,9
23,1,9
24,1,9
25,1,9
26,1,9
27,1,9
28,1,9
29,1,9
30,1,9
31,1,9
32,1,9
0,2,9
1,2,9
2,2,9
3,2,9
4,2,9
5,2,9
6,2,9
7,2,9
8,2,9
9,2,9
10,2,9
11,2,9
12,2,9
13,2,9
14,2,9
15,2,9
16,2,9
17,2,9
18,2,9
19,2,9
20,2,9
21,2,9
22,2,9
23,2,9
24,2,9
25,2,9
26,2,9
27,2,9
28,2,9
29,2,9
30,2,9
31,2,9
32,2,9
0,3,9
1,3,9
2,3,9
3,3,9
4,3,9
5,3,9
6,3,9
7,3,9
8,3,9
9,3,9
10,3,9
11,3,9
12,3,9
13,3,9
14,3,9
15,3,9
16,3,9
17,3,9
18,3,9
19,3,9
20,3,9
21,3,9
22,3,9
23,3,9
24,3,9
25,3,9
26,3,9
27,3,9
28,3,9
29,3,9
30,3,9
31,3,9
32,3,9
0,4,9
1,4,9
2,4,9
3,4,9
4,4,9
5,4,9
6,4,9
7,4,9
8,4,9
9,4,9
10,4,8
11,4,8
12,4,8
13,4,8
14,4,8
15,4,8
16,4,8
17,4,8
18,4,8
19,4,8
20,4,8
21,4,8
22,4,8
23,4,9
24,4,9
25,4,9
26,4,9
27,4,9
28,4,9
29,4,9
30,4,9
31,4,9
32,4,9
0,5,9
1,5,9
2,5,9
3,5,9
4,5,9
5,5,9
6,5,9
7,5,9
8,5,9
9,5,8
10,5,8
11,5,8
12,5,8
13,5,8
14,5,8
15,5,8
16,5,8
17,5,8
18,5,8
19,5,8
20,5,8
21,5,8
22,5,8
23,5,8
24,5,9
25,5,9
26,5,9
27,5,9
28,5,9
29,5,9
30,5,9
31,5,9
32,5,9
0,6,9
1,6,9
2,6,9
3,6,9
4,6,9
5,6,9
6,6,9
7,6,9
8,6,8
9,6,8
10,6,8
11,6,8
12,6,8
13,6,8
14,6,8
15,6,8
16,6,8
17,6,8
18,6,8
19,6,8
20,6,8
21,6,8
22,6,8
23,6,8
24,6,8
25,6,9
26,6,9
27,6,9
28,6,9
29,6,9
30,6,9
31,6,9
32,6,9
0,7,9
1,7,9
2,7,9
3,7,9
4,7,9
5,7,9
6,7,9
7,7,8
8,7,8
9,7,8
10,7,8
11,7,8
12,7,8
13,7,8
14,7,8
15,7,8
16,7,8
17,7,8
18,7,8
19,7,8
20,7,8
21,7,8
22,7,8
23,7,8
24,7,8
25,7,8
26,7,9
27,7,9
28,7,9
29,7,9
30,7,9
31,7,9
32,7,9
0,8,9
1,8,9
2,8,9
3,8,9
4,8,9
5,8,9
6,8,8
7,8,8
8,8,8
9,8,8
10,8,8
11,8,7
12,8,7
13,8,7
14,8,7
15,8,7
16,8,7
17,8,7
18,8,7
19,8,7
20,8,7
21,8,7
22,8,7
23,8,8
24,8,8
25,8,8
26,8,8
27,8,9
28,8,9
29,8,9
30,8,9
31,8,9
32,8,9
0,9,9
1,9,9
2,9,9
3,9,9
4,9,9
5,9,8
6,9,8
7,9,8
8,9,8
9,9,7
10,9,7
11,9,7
12,9,7
13,9,7
14,9,7
15,9,7
16,9,7
17,9,7
18,9,7
19,9,7
20,9,7
21,9,7
22,9,7
23,9,7
24,9,8
25,9,8
26,9,8
27,9,8
28,9,9
29,9,9
30,9,9
31,9,9
32,9,9
0,10,9
1,10,9
2,10,9
3,10,9
4,10,8
5,10,8
6,10,8
7,10,8
8,10,7
9,10,7
10,10,7
11,10,7
12,10,7
13,10,6
14,10,6
15,10,6
16,10,6
17,10,6
18,10,6
19,10,6
20,10,6
21,10,7
22,10,7
23,10,7
24,10,7
25,10,8
26,10,8
27,10,8
28,10,8
29,10,9
30,10,9
31,10,9
32,10,9
0,11,9
1,11,9
2,11,9
3,11,9
4,11,8
5,11,8
6,11,8
7,11,8
8,11,7
9,11,7
10,11,7
11,11,6
12,11,6
13,11,6
14,11,6
15,11,6
16,11,6
17,11,6
18,11,6
19,11,6
20,11,6
21,11,6
22,11,7
23,11,7
24,11,7
25,11,8
26,11,8
27,11,8
28,11,8
29,11,9
30,11,9
31,11,9
32,11,9
0,12,9
1,12,9
2,12,9
3,12,9
4,12,8
5,12,8
6,12,8
7,12,8
8,12,7
9,12,7
10,12,7
11,12,6
12,12,6
13,12,5
14,12,5
15,12,5
16,12,5
17,12,5
18,12,5
19,12,5
20,12,5
21,12,6
22,12,6
23,12,7
24,12,7
25,12,8
26,12,8
27,12,8
28,12,8
29,12,9
30,12,9
31,12,9
32,12,9
0,13,9
1,13,9
2,13,9
3,13,9
4,13,8
5,13,8
6,13,8
7,13,8
8,13,7
9,13,7
10,13,6
11,13,6
12,13,5
13,13,5
14,13,5
15,13,5
16,13,5
17,13,5
18,13,5
19,13,5
20,13,5
21,13,5
22,13,6
23,13,6
24,13,7
25,13,7
26,13,8
27,13,8
28,13,8
29,13,9
30,13,9
31,13,9
32,13,9
0,14,9
1,14,9
2,14,9
3,14,9
4,14,8
5,14,8
6,14,8
7,14,8
8,14,7
9,14,7
10,14,6
11,14,6
12,14,5
13,14,5
14,14,4
15,14,4
16,14,4
17,14,4
18,14,4
19,14,4
20,14,4
21,14,5
22,14,5
23,14,6
24,14,6
25,14,7
26,14,7
27,14,8
28,14,8
29,14,8
30,14,9
31,14,9
32,14,9
0,15,9
1,15,9
2,15,9
3,15,9
4,15,8
5,15,8
6,15,8
7,15,8
8,15,7
9,15,7
10,15,6
11,15,6
12,15,5
13,15,5
14,15,4
15,15,3
16,15,3
17,15,3
18,15,3
19,15,3
20,15,4
21,15,5
22,15,5
23,15,6
24,15,6
25,15,7
26,15,7
27,15,8
28,15,8
29,15,8
30,15,9
31,15,9
32,15,9
0,16,9
1,16,9
2,16,9
3,16,9
4,16,8
5,16,8
6,16,8
7,16,8
8,16,7
9,16,7
10,16,6
11,16,6
12,16,5
13,16,5
14,16,4
15,16,3
16,16,2
17,16,2
18,16,2
19,16,3
20,16,4
21,16,5
22,16,5
23,16,6
24,16,6
25,16,7
26,16,7
27,16,8
28,16,8
29,16,8
30,16,9
31,16,9
32,16,9
0,17,9
1,17,9
2,17,9
3,17,9
4,17,8
5,17,8
6,17,8
7,17,8
8,17,7
9,17,7
10,17,6
11,17,6
12,17,5
13,17,5
14,17,4
15,17,3
16,17,2
17,17,1
18,17,2
19,17,3
20,17,4
21,17,5
22,17,5
23,17,6
24,17,6
25,17,7
26,17,7
27,17,8
28,17,8
29,17,8
30,17,9
31,17,9
32,17,9
0,18,9
1,18,9
2,18,9
3,18,9
4,18,8
5,18,8
6,18,8
7,18,8
8,18,7
9,18,7
10,18,6
11,18,6
12,18,5
13,18,5
14,18,4
15,18,3
16,18,2
17,18,2
18,18,2
19,18,3
20,18,4
21,18,5
22,18,5
23,18,6
24,18,6
25,18,7
26,18,7
27,18,8
28,18,8
29,18,8
30,18,9
31,18,9
32,18,9
0,19,9
1,19,9
2,19,9
3,19,9
4,19,8
5,19,8
6,19,8
7,19,8
8,19,7
9,19,7
10,19,6
11,19,6
12,19,5
13,19,5
14,19,4
15,19,3
16,19,3
17,19,3
18,19,3
19,19,3
20,19,4
21,19,5
22,19,5
23,19,6
24,19,6
25,19,7
26,19,7
27,19,8
28,19,8
29,19,8
30,19,9
31,19,9
32,19,9
0,20,9
1,20,9
2,20,9
3,20,9
4,20,8
5,20,8
6,20,8
7,20,8
8,20,7
9,20,7
10,20,6
11,20,6
12,20,5
13,20,5
